source_mat_id_orig,source_mat_id,chlorophyll,chlorophyll_method,sea_surf_temp,sea_surf_temp_method,sea_subsurf_temp,sea_subsurf_temp_method,sea_surf_salinity,sea_surf_salinity_method,sea_subsurf_salinity,sea_subsurf_salinity_method,alkalinity,alkalinity_method,ammonium,ammonium_method,bac_prod,bac_prod_method,biomass,biomass_method,chem_administration,conduc,conduc_method,density,density_method,diss_carb_dioxide,diss_carb_dioxide_method,diss_inorg_carb,diss_inorg_carb_method,diss_org_carb,diss_org_carb_method,diss_org_nitro,diss_org_nitro_method,down_par,down_par_method,diss_oxygen,diss_oxygen_method,n_alkanes,n_alkanes_method,nitrate,nitrate_method,nitrite,nitrite_method,organism_count,organism_count_method,ph,ph_method,part_org_carb,part_org_carb_method,part_org_nitro,part_org_nitro_method,petroleum_hydrocarb,petroleum_hydrocarb_method,phaeopigments,phaeopigments_method,phosphate,phosphate_method,pigments,pigments_method,pressure,pressure_method,primary_prod,primary_prod_method,silicate,silicate_method,sulfate,sulfate_method,sulfide,sulfide_method,turbidity,turbidity_method,water_current,water_current_method
EMO BON UMF Wa 220830 3um (1),EMOBON_UMF_Wa_1,2.42,"integrated sample from 0-10 m, filtered on Whatman GF/F Ø25 mm, extraction in 96% ethanol overnight, filter and algae ground up with steel balls, then spectrofluorometry",13.2608,"CTD-sond SBE 911, 1 m depth",13.2608,"CTD-sond SBE 911, 1 m depth",3.924,"CTD-sond SBE 911, 1 m depth",3.924,"CTD-sond SBE 911, 1 m depth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMO BON UMF Wa 220830 3um (2),EMOBON_UMF_Wa_2,2.42,"integrated sample from 0-10 m, filtered on Whatman GF/F Ø25 mm, extraction in 96% ethanol overnight, filter and algae ground up with steel balls, then spectrofluorometry",13.2608,"CTD-sond SBE 911, 1 m depth",13.2608,"CTD-sond SBE 911, 1 m depth",3.924,"CTD-sond SBE 911, 1 m depth",3.924,"CTD-sond SBE 911, 1 m depth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMO BON UMF Wa 220830 3um (3),EMOBON_UMF_Wa_3,2.42,"integrated sample from 0-10 m, filtered on Whatman GF/F Ø25 mm, extraction in 96% ethanol overnight, filter and algae ground up with steel balls, then spectrofluorometry",13.2608,"CTD-sond SBE 911, 1 m depth",13.2608,"CTD-sond SBE 911, 1 m depth",3.924,"CTD-sond SBE 911, 1 m depth",3.924,"CTD-sond SBE 911, 1 m depth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMO BON UMF Wa 220830 3um (4),EMOBON_UMF_Wa_4,2.42,"integrated sample from 0-10 m, filtered on Whatman GF/F Ø25 mm, extraction in 96% ethanol overnight, filter and algae ground up with steel balls, then spectrofluorometry",13.2608,"CTD-sond SBE 911, 1 m depth",13.2608,"CTD-sond SBE 911, 1 m depth",3.924,"CTD-sond SBE 911, 1 m depth",3.924,"CTD-sond SBE 911, 1 m depth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMO BON UMF Wa 220830 0.2um (1),EMOBON_UMF_Wa_5,2.42,"integrated sample from 0-10 m, filtered on Whatman GF/F Ø25 mm, extraction in 96% ethanol overnight, filter and algae ground up with steel balls, then spectrofluorometry",13.2608,"CTD-sond SBE 911, 1 m depth",13.2608,"CTD-sond SBE 911, 1 m depth",3.924,"CTD-sond SBE 911, 1 m depth",3.924,"CTD-sond SBE 911, 1 m depth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMO BON UMF Wa 220830 0.2um (2),EMOBON_UMF_Wa_6,2.42,"integrated sample from 0-10 m, filtered on Whatman GF/F Ø25 mm, extraction in 96% ethanol overnight, filter and algae ground up with steel balls, then spectrofluorometry",13.2608,"CTD-sond SBE 911, 1 m depth",13.2608,"CTD-sond SBE 911, 1 m depth",3.924,"CTD-sond SBE 911, 1 m depth",3.924,"CTD-sond SBE 911, 1 m depth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMO BON UMF Wa 220830 0.2um (3),EMOBON_UMF_Wa_7,2.42,"integrated sample from 0-10 m, filtered on Whatman GF/F Ø25 mm, extraction in 96% ethanol overnight, filter and algae ground up with steel balls, then spectrofluorometry",13.2608,"CTD-sond SBE 911, 1 m depth",13.2608,"CTD-sond SBE 911, 1 m depth",3.924,"CTD-sond SBE 911, 1 m depth",3.924,"CTD-sond SBE 911, 1 m depth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMO BON UMF Wa 220830 0.2um (4),EMOBON_UMF_Wa_8,2.42,"integrated sample from 0-10 m, filtered on Whatman GF/F Ø25 mm, extraction in 96% ethanol overnight, filter and algae ground up with steel balls, then spectrofluorometry",13.2608,"CTD-sond SBE 911, 1 m depth",13.2608,"CTD-sond SBE 911, 1 m depth",3.924,"CTD-sond SBE 911, 1 m depth",3.924,"CTD-sond SBE 911, 1 m depth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMO BON UMF Wa 220830 3um (Blank),EMOBON_UMF_Wa_9,2.42,"integrated sample from 0-10 m, filtered on Whatman GF/F Ø25 mm, extraction in 96% ethanol overnight, filter and algae ground up with steel balls, then spectrofluorometry",13.2608,"CTD-sond SBE 911, 1 m depth",13.2608,"CTD-sond SBE 911, 1 m depth",3.924,"CTD-sond SBE 911, 1 m depth",3.924,"CTD-sond SBE 911, 1 m depth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMO BON UMF Wa 220830 0.22um (Blank),EMOBON_UMF_Wa_10,2.42,"integrated sample from 0-10 m, filtered on Whatman GF/F Ø25 mm, extraction in 96% ethanol overnight, filter and algae ground up with steel balls, then spectrofluorometry",13.2608,"CTD-sond SBE 911, 1 m depth",13.2608,"CTD-sond SBE 911, 1 m depth",3.924,"CTD-sond SBE 911, 1 m depth",3.924,"CTD-sond SBE 911, 1 m depth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMO BON UMF Wa 220830 10um (1),EMOBON_UMF_Wa_11,2.42,"integrated sample from 0-10 m, filtered on Whatman GF/F Ø25 mm, extraction in 96% ethanol overnight, filter and algae ground up with steel balls, then spectrofluorometry",13.2608,"CTD-sond SBE 911, 1 m depth",13.2608,"CTD-sond SBE 911, 1 m depth",3.924,"CTD-sond SBE 911, 1 m depth",3.924,"CTD-sond SBE 911, 1 m depth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMO BON UMF Wa 220830 10um (2),EMOBON_UMF_Wa_12,2.42,"integrated sample from 0-10 m, filtered on Whatman GF/F Ø25 mm, extraction in 96% ethanol overnight, filter and algae ground up with steel balls, then spectrofluorometry",13.2608,"CTD-sond SBE 911, 1 m depth",13.2608,"CTD-sond SBE 911, 1 m depth",3.924,"CTD-sond SBE 911, 1 m depth",3.924,"CTD-sond SBE 911, 1 m depth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMO BON UMF Wa 220830 10um (3),EMOBON_UMF_Wa_13,2.42,"integrated sample from 0-10 m, filtered on Whatman GF/F Ø25 mm, extraction in 96% ethanol overnight, filter and algae ground up with steel balls, then spectrofluorometry",13.2608,"CTD-sond SBE 911, 1 m depth",13.2608,"CTD-sond SBE 911, 1 m depth",3.924,"CTD-sond SBE 911, 1 m depth",3.924,"CTD-sond SBE 911, 1 m depth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMO BON UMF Wa 220830 10um (4),EMOBON_UMF_Wa_14,2.42,"integrated sample from 0-10 m, filtered on Whatman GF/F Ø25 mm, extraction in 96% ethanol overnight, filter and algae ground up with steel balls, then spectrofluorometry",13.2608,"CTD-sond SBE 911, 1 m depth",13.2608,"CTD-sond SBE 911, 1 m depth",3.924,"CTD-sond SBE 911, 1 m depth",3.924,"CTD-sond SBE 911, 1 m depth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMO BON UMF Wa 220830 10um (blank),EMOBON_UMF_Wa_15,2.42,"integrated sample from 0-10 m, filtered on Whatman GF/F Ø25 mm, extraction in 96% ethanol overnight, filter and algae ground up with steel balls, then spectrofluorometry",13.2608,"CTD-sond SBE 911, 1 m depth",13.2608,"CTD-sond SBE 911, 1 m depth",3.924,"CTD-sond SBE 911, 1 m depth",3.924,"CTD-sond SBE 911, 1 m depth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMO BON UMF Wa 220830 0.2um_1L,EMOBON_UMF_Wa_16,2.42,"integrated sample from 0-10 m, filtered on Whatman GF/F Ø25 mm, extraction in 96% ethanol overnight, filter and algae ground up with steel balls, then spectrofluorometry",13.2608,"CTD-sond SBE 911, 1 m depth",13.2608,"CTD-sond SBE 911, 1 m depth",3.924,"CTD-sond SBE 911, 1 m depth",3.924,"CTD-sond SBE 911, 1 m depth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMO BON UMF Wa 220830 0.2um_2L,EMOBON_UMF_Wa_17,2.42,"integrated sample from 0-10 m, filtered on Whatman GF/F Ø25 mm, extraction in 96% ethanol overnight, filter and algae ground up with steel balls, then spectrofluorometry",13.2608,"CTD-sond SBE 911, 1 m depth",13.2608,"CTD-sond SBE 911, 1 m depth",3.924,"CTD-sond SBE 911, 1 m depth",3.924,"CTD-sond SBE 911, 1 m depth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMO BON UMF Wa 220830 0.2um_3L,EMOBON_UMF_Wa_18,2.42,"integrated sample from 0-10 m, filtered on Whatman GF/F Ø25 mm, extraction in 96% ethanol overnight, filter and algae ground up with steel balls, then spectrofluorometry",13.2608,"CTD-sond SBE 911, 1 m depth",13.2608,"CTD-sond SBE 911, 1 m depth",3.924,"CTD-sond SBE 911, 1 m depth",3.924,"CTD-sond SBE 911, 1 m depth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMO BON UMF Wa 220830 0.2um_4L,EMOBON_UMF_Wa_19,2.42,"integrated sample from 0-10 m, filtered on Whatman GF/F Ø25 mm, extraction in 96% ethanol overnight, filter and algae ground up with steel balls, then spectrofluorometry",13.2608,"CTD-sond SBE 911, 1 m depth",13.2608,"CTD-sond SBE 911, 1 m depth",3.924,"CTD-sond SBE 911, 1 m depth",3.924,"CTD-sond SBE 911, 1 m depth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMO BON UMF Wa 221025 3um (1),EMOBON_UMF_Wa_20,2.89,"integrated sample from 0-10 m, filtered on Whatman GF/F Ø25 mm, extraction in 96% ethanol overnight, filter and algae ground up with steel balls, then spectrofluorometry",7.305,"CTD-sond SBE 911, 1 m depth",7.305,"CTD-sond SBE 911, 1 m depth",4.125,"CTD-sond SBE 911, 1 m depth",4.125,"CTD-sond SBE 911, 1 m depth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMO BON UMF Wa 221025 3um (2),EMOBON_UMF_Wa_21,2.89,"integrated sample from 0-10 m, filtered on Whatman GF/F Ø25 mm, extraction in 96% ethanol overnight, filter and algae ground up with steel balls, then spectrofluorometry",7.305,"CTD-sond SBE 911, 1 m depth",7.305,"CTD-sond SBE 911, 1 m depth",4.125,"CTD-sond SBE 911, 1 m depth",4.125,"CTD-sond SBE 911, 1 m depth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMO BON UMF Wa 221025 3um (3),EMOBON_UMF_Wa_22,2.89,"integrated sample from 0-10 m, filtered on Whatman GF/F Ø25 mm, extraction in 96% ethanol overnight, filter and algae ground up with steel balls, then spectrofluorometry",7.305,"CTD-sond SBE 911, 1 m depth",7.305,"CTD-sond SBE 911, 1 m depth",4.125,"CTD-sond SBE 911, 1 m depth",4.125,"CTD-sond SBE 911, 1 m depth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMO BON UMF Wa 221025 3um (4),EMOBON_UMF_Wa_23,2.89,"integrated sample from 0-10 m, filtered on Whatman GF/F Ø25 mm, extraction in 96% ethanol overnight, filter and algae ground up with steel balls, then spectrofluorometry",7.305,"CTD-sond SBE 911, 1 m depth",7.305,"CTD-sond SBE 911, 1 m depth",4.125,"CTD-sond SBE 911, 1 m depth",4.125,"CTD-sond SBE 911, 1 m depth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMO BON UMF Wa 221025 0.2um (1),EMOBON_UMF_Wa_24,2.89,"integrated sample from 0-10 m, filtered on Whatman GF/F Ø25 mm, extraction in 96% ethanol overnight, filter and algae ground up with steel balls, then spectrofluorometry",7.305,"CTD-sond SBE 911, 1 m depth",7.305,"CTD-sond SBE 911, 1 m depth",4.125,"CTD-sond SBE 911, 1 m depth",4.125,"CTD-sond SBE 911, 1 m depth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMO BON UMF Wa 221025 0.2um (2),EMOBON_UMF_Wa_25,2.89,"integrated sample from 0-10 m, filtered on Whatman GF/F Ø25 mm, extraction in 96% ethanol overnight, filter and algae ground up with steel balls, then spectrofluorometry",7.305,"CTD-sond SBE 911, 1 m depth",7.305,"CTD-sond SBE 911, 1 m depth",4.125,"CTD-sond SBE 911, 1 m depth",4.125,"CTD-sond SBE 911, 1 m depth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMO BON UMF Wa 221025 0.2um (3),EMOBON_UMF_Wa_26,2.89,"integrated sample from 0-10 m, filtered on Whatman GF/F Ø25 mm, extraction in 96% ethanol overnight, filter and algae ground up with steel balls, then spectrofluorometry",7.305,"CTD-sond SBE 911, 1 m depth",7.305,"CTD-sond SBE 911, 1 m depth",4.125,"CTD-sond SBE 911, 1 m depth",4.125,"CTD-sond SBE 911, 1 m depth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMO BON UMF Wa 221025 0.2um (4),EMOBON_UMF_Wa_27,2.89,"integrated sample from 0-10 m, filtered on Whatman GF/F Ø25 mm, extraction in 96% ethanol overnight, filter and algae ground up with steel balls, then spectrofluorometry",7.305,"CTD-sond SBE 911, 1 m depth",7.305,"CTD-sond SBE 911, 1 m depth",4.125,"CTD-sond SBE 911, 1 m depth",4.125,"CTD-sond SBE 911, 1 m depth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMO BON UMF Wa 221025 3um (Blank),EMOBON_UMF_Wa_28,2.89,"integrated sample from 0-10 m, filtered on Whatman GF/F Ø25 mm, extraction in 96% ethanol overnight, filter and algae ground up with steel balls, then spectrofluorometry",7.305,"CTD-sond SBE 911, 1 m depth",7.305,"CTD-sond SBE 911, 1 m depth",4.125,"CTD-sond SBE 911, 1 m depth",4.125,"CTD-sond SBE 911, 1 m depth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMO BON UMF Wa 221025 0.22um (Blank),EMOBON_UMF_Wa_29,2.89,"integrated sample from 0-10 m, filtered on Whatman GF/F Ø25 mm, extraction in 96% ethanol overnight, filter and algae ground up with steel balls, then spectrofluorometry",7.305,"CTD-sond SBE 911, 1 m depth",7.305,"CTD-sond SBE 911, 1 m depth",4.125,"CTD-sond SBE 911, 1 m depth",4.125,"CTD-sond SBE 911, 1 m depth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMO BON UMF Wa 221025 10um (1),EMOBON_UMF_Wa_30,2.89,"integrated sample from 0-10 m, filtered on Whatman GF/F Ø25 mm, extraction in 96% ethanol overnight, filter and algae ground up with steel balls, then spectrofluorometry",7.305,"CTD-sond SBE 911, 1 m depth",7.305,"CTD-sond SBE 911, 1 m depth",4.125,"CTD-sond SBE 911, 1 m depth",4.125,"CTD-sond SBE 911, 1 m depth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMO BON UMF Wa 221025 10um (2),EMOBON_UMF_Wa_31,2.89,"integrated sample from 0-10 m, filtered on Whatman GF/F Ø25 mm, extraction in 96% ethanol overnight, filter and algae ground up with steel balls, then spectrofluorometry",7.305,"CTD-sond SBE 911, 1 m depth",7.305,"CTD-sond SBE 911, 1 m depth",4.125,"CTD-sond SBE 911, 1 m depth",4.125,"CTD-sond SBE 911, 1 m depth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMO BON UMF Wa 221025 10um (3),EMOBON_UMF_Wa_32,2.89,"integrated sample from 0-10 m, filtered on Whatman GF/F Ø25 mm, extraction in 96% ethanol overnight, filter and algae ground up with steel balls, then spectrofluorometry",7.305,"CTD-sond SBE 911, 1 m depth",7.305,"CTD-sond SBE 911, 1 m depth",4.125,"CTD-sond SBE 911, 1 m depth",4.125,"CTD-sond SBE 911, 1 m depth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
