source_mat_id_orig,samp_description,tax_id,scientific_name,investigation_type,env_material,collection_date,sampling_event,sampl_person,sampl_person_orcid,tidal_stage,noteworthy_env_cond,depth,replicate,samp_size_vol,time_fi,size_frac,size_frac_low,size_frac_up,membr_cut,samp_collect_device,samp_mat_process,samp_mat_process_dev,samp_store_date,samp_store_loc,samp_store_temp,store_person,store_person_orcid,other_person,other_person_orcid,long_store,ship_date,arr_date_hq,store_temp_hq,ship_date_seq,arr_date_seq,failure,failure_comment,ENA_accession_number_sample,source_mat_id
EMO BON UMF Wa 220830 3um (1),EMOBON metagenome water sample from station UMF collected on 2022-08-30 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,marine water body [ENVO:00001999],2022-08-30 00:00:00,UMF_Wa_220830,Annie Marie Cox,,no_tide,,1,1,5,3,3-200,3,200,Y,Niskin,WaSOP1,vacuum pump,2022-08-30 00:00:00,"UMF, A13B passage, -80 freezer",-80,Annie Marie Cox,NA,NA,NA,N,2022-10-10 00:00:00,2022-10-12 00:00:00,-70,2023-06-01 00:00:00,2023-06-01 00:00:00,NA,NA,NA,EMOBON_UMF_Wa_1
EMO BON UMF Wa 220830 3um (2),EMOBON metagenome water sample from station UMF collected on 2022-08-30 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,marine water body [ENVO:00001999],2022-08-30 00:00:00,UMF_Wa_220830,Annie Marie Cox,,no_tide,,1,2,5,3,3-200,3,200,Y,Niskin,WaSOP1,vacuum pump,2022-08-30 00:00:00,"UMF, A13B passage, -80 freezer",-80,Annie Marie Cox,NA,NA,NA,N,2022-10-10 00:00:00,2022-10-12 00:00:00,-70,2023-06-01 00:00:00,2023-06-01 00:00:00,NA,NA,NA,EMOBON_UMF_Wa_2
EMO BON UMF Wa 220830 3um (3),EMOBON metagenome water sample from station UMF collected on 2022-08-30 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,marine water body [ENVO:00001999],2022-08-30 00:00:00,UMF_Wa_220830,Annie Marie Cox,,no_tide,,1,3,5,3,3-200,3,200,Y,Niskin,WaSOP1,vacuum pump,2022-08-30 00:00:00,"UMF, A13B passage, -80 freezer",-80,Annie Marie Cox,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_UMF_Wa_3
EMO BON UMF Wa 220830 3um (4),EMOBON metagenome water sample from station UMF collected on 2022-08-30 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,marine water body [ENVO:00001999],2022-08-30 00:00:00,UMF_Wa_220830,Annie Marie Cox,,no_tide,,1,4,5,3,3-200,3,200,Y,Niskin,WaSOP1,vacuum pump,2022-08-30 00:00:00,"UMF, A13B passage, -80 freezer",-80,Annie Marie Cox,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_UMF_Wa_4
EMO BON UMF Wa 220830 0.2um (1),EMOBON metagenome water sample from station UMF collected on 2022-08-30 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,marine water body [ENVO:00001999],2022-08-30 00:00:00,UMF_Wa_220830,Annie Marie Cox,,no_tide,,1,1,5,3,0.2-3,0.2,3,Y,Niskin,WaSOP1,vacuum pump,2022-08-30 00:00:00,"UMF, A13B passage, -80 freezer",-80,Annie Marie Cox,NA,NA,NA,N,2022-10-10 00:00:00,2022-10-12 00:00:00,-70,2023-06-01 00:00:00,2023-06-01 00:00:00,NA,NA,NA,EMOBON_UMF_Wa_5
EMO BON UMF Wa 220830 0.2um (2),EMOBON metagenome water sample from station UMF collected on 2022-08-30 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,marine water body [ENVO:00001999],2022-08-30 00:00:00,UMF_Wa_220830,Annie Marie Cox,,no_tide,,1,2,5,3,0.2-3,0.2,3,Y,Niskin,WaSOP1,vacuum pump,2022-08-30 00:00:00,"UMF, A13B passage, -80 freezer",-80,Annie Marie Cox,NA,NA,NA,N,2022-10-10 00:00:00,2022-10-12 00:00:00,-70,2023-06-01 00:00:00,2023-06-01 00:00:00,NA,NA,NA,EMOBON_UMF_Wa_6
EMO BON UMF Wa 220830 0.2um (3),EMOBON metagenome water sample from station UMF collected on 2022-08-30 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,marine water body [ENVO:00001999],2022-08-30 00:00:00,UMF_Wa_220830,Annie Marie Cox,,no_tide,,1,3,5,3,0.2-3,0.2,3,Y,Niskin,WaSOP1,vacuum pump,2022-08-30 00:00:00,"UMF, A13B passage, -80 freezer",-80,Annie Marie Cox,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_UMF_Wa_7
EMO BON UMF Wa 220830 0.2um (4),EMOBON metagenome water sample from station UMF collected on 2022-08-30 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,marine water body [ENVO:00001999],2022-08-30 00:00:00,UMF_Wa_220830,Annie Marie Cox,,no_tide,,1,4,5,3,0.2-3,0.2,3,Y,Niskin,WaSOP1,vacuum pump,2022-08-30 00:00:00,"UMF, A13B passage, -80 freezer",-80,Annie Marie Cox,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_UMF_Wa_8
EMO BON UMF Wa 220830 3um (Blank),EMOBON metagenome water sample from station UMF collected on 2022-08-30 size fraction 3-200um,256318,metagenome,metagenome,marine water body [ENVO:00001999],2022-08-30 00:00:00,UMF_Wa_220830,Annie Marie Cox,,no_tide,,NA,blank_1,5,0,3-200,3,200,N,NA,WaSOP1,vacuum pump,2022-08-30 00:00:00,"UMF, A13B passage, -80 freezer",-80,Annie Marie Cox,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_UMF_Wa_9
EMO BON UMF Wa 220830 0.22um (Blank),EMOBON metagenome water sample from station UMF collected on 2022-08-30 size fraction 0.2-3um,256318,metagenome,metagenome,marine water body [ENVO:00001999],2022-08-30 00:00:00,UMF_Wa_220830,Annie Marie Cox,,no_tide,,NA,blank_1,5,0,0.2-3,0.2,3,N,NA,WaSOP1,vacuum pump,2022-08-30 00:00:00,"UMF, A13B passage, -80 freezer",-80,Annie Marie Cox,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_UMF_Wa_10
